"source","destination","flow","dest_output","flow_per"
"890000","220300",9.6,2097.5,0.00457687723480334
"900000","220300",315.8,2097.5,0.150560190703218
"880000","220400",562.9,2373,0.237210282343026
"890000","220400",7.3,2373,0.00307627475769069
"900000","220400",321,2373,0.13527180783818
"880000","230100",698.7,1988.8,0.351317377312953
"890000","230100",6.6,1988.8,0.00331858407079646
"900000","230100",401,1988.8,0.2016291230893
"880000","230200",1603.4,5348,0.29981301421092
"890000","230200",34.9,5348,0.00652580403889304
"900000","230200",1362.2,5348,0.254712041884817
"880000","230300",499.6,2026.7,0.246509103468693
"890000","230300",7.8,2026.7,0.00384862091084028
"900000","230300",318.4,2026.7,0.157102679232249
"880000","230400",1072.6,2818.4,0.380570536474596
"890000","230400",20.9,2818.4,0.00741555492478002
"900000","230400",331.7,2818.4,0.117690888447346
"880000","230500",875.5,2626.5,0.333333333333333
"890000","230500",21.2,2626.5,0.00807157814582144
"900000","230500",305.8,2626.5,0.116428707405292
"880000","230600",452.4,1634,0.276866585067319
"890000","230600",6.8,1634,0.00416156670746634
"900000","230600",318.3,1634,0.194798041615667
"880000","230700",669.3,1915.9,0.349339735894358
"890000","230700",13.2,1915.9,0.00688971240670181
"900000","230700",350.1,1915.9,0.182733963150478
"880000","240100",715.5,4266.2,0.167713656181145
"890000","240100",109.4,4266.2,0.0256434297501289
"900000","240100",952,4266.2,0.223149406966387
"880000","240400",856.8,2495.1,0.343393050378742
"890000","240400",24,2495.1,0.0096188529517855
"900000","240400",242.6,2495.1,0.0972305719209651
"880000","240500",1582.1,11676.4,0.135495529444007
"890000","240500",99.9,11676.4,0.00855571922852934
"900000","240500",4331.8,11676.4,0.370987633174609
"880000","240701",1680.8,7977.5,0.210692572861172
"890000","240701",92.7,7977.5,0.0116201817612034
"900000","240701",1543.2,7977.5,0.193444061422752
"880000","240702",1575.9,6847.6,0.230139026812314
"890000","240702",61,6847.6,0.00890823062094748
"900000","240702",1055.9,6847.6,0.154200011682925
"880000","240703",434.4,1708.8,0.254213483146067
"890000","240703",13.5,1708.8,0.00790028089887641
"900000","240703",172.6,1708.8,0.101006554307116
"880000","240705",289.9,1124.8,0.257734708392603
"890000","240705",7,1124.8,0.00622332859174964
"900000","240705",154.9,1124.8,0.137713371266003
"880000","240706",817.9,3364.8,0.24307536852116
"890000","240706",33.5,3364.8,0.00995601521635758
"900000","240706",675.4,3364.8,0.200725154541132
"880000","240800",8567.8,42521.1,0.201495257648556
"890000","240800",904,42521.1,0.0212600332540786
"900000","240800",7283.7,42521.1,0.171296132978686
"880000","250000",6370.2,25510.8,0.24970600686768
"890000","250000",204.7,25510.8,0.00802405255813224
"900000","250000",2231.1,25510.8,0.0874570770026812
"880000","260100",11630.6,32193.8,0.361268318744603
"890000","260100",171.3,32193.8,0.00532090029757283
"900000","260100",9219.3,32193.8,0.286368803931192
"880000","260200",3760,17533,0.214452746249929
"890000","260200",83.6,17533,0.00476815148576969
"900000","260200",4172.6,17533,0.237985513032567
"880000","260301",2316,12551.2,0.184524188922175
"890000","260301",77.9,12551.2,0.00620657785709733
"900000","260301",4450.7,12551.2,0.35460354388425
"880000","260302",1254.1,3248.2,0.386090757958254
"890000","260302",48.7,3248.2,0.0149929191552244
"900000","260302",409.7,3248.2,0.126131395850009
"880000","260400",1959.2,7777,0.251922335090652
"890000","260400",79.5,7777,0.0102224508165102
"900000","260400",2949.5,7777,0.379259354506879
"880000","260501",15817.4,45907.4,0.344550116103286
"890000","260501",600.4,45907.4,0.013078501505204
"900000","260501",5294.7,45907.4,0.115334346968027
"880000","260601",1615.4,6999.4,0.230791210675201
"890000","260601",51.3,6999.4,0.00732919964568392
"900000","260601",1438.6,6999.4,0.20553190273452
"880000","260602",1026.6,2806.2,0.365832798802651
"890000","260602",15.5,2806.2,0.00552348371463189
"900000","260602",562.3,2806.2,0.200377735015323
"880000","260700",598.3,2641.2,0.226525821596244
"890000","260700",12.4,2641.2,0.00469483568075117
"900000","260700",1036.2,2641.2,0.392321671967288
"880000","260802",655,1165,0.562231759656652
"890000","260802",10.4,1165,0.00892703862660944
"900000","260802",133.3,1165,0.114420600858369
"880000","260803",1038.5,1938.6,0.535695862993913
"890000","260803",29.7,1938.6,0.0153203342618384
"900000","260803",258.1,1938.6,0.133137315588569
"880000","260806",1218.8,2343.4,0.520099001450883
"890000","260806",31.2,2343.4,0.0133139882222412
"900000","260806",155.9,2343.4,0.0665272680720321
"880000","270100",11585.6,67673.7,0.171197969078091
"890000","270100",1715.8,67673.7,0.0253540149275125
"900000","270100",16790.7,67673.7,0.248112634598079
"880000","270201",845,6084.4,0.138879758069818
"890000","270201",110.2,6084.4,0.0181118927092236
"900000","270201",-871.7,6084.4,-0.143268029715338
"880000","270202",264.2,1322,0.199848714069592
"890000","270202",4.7,1322,0.00355521936459909
"900000","270202",198.2,1322,0.149924357034796
"880000","270300",840.8,6105.9,0.13770287754467
"890000","270300",110.8,6105.9,0.0181463830066002
"900000","270300",1861.7,6105.9,0.304901816276061
"880000","270401",102.5,470.9,0.217668294754725
"890000","270401",5,470.9,0.0106179655977915
"900000","270401",61.5,470.9,0.130600976852835
"880000","270402",939.8,4418.3,0.212706244483172
"890000","270402",26.7,4418.3,0.00604304823122015
"900000","270402",731.7,4418.3,0.165606681302764
"880000","270403",604.7,1091.9,0.553805293525048
"890000","270403",4,1091.9,0.0036633391336203
"900000","270403",180.3,1091.9,0.165125011447935
"880000","270404",524.9,2338.9,0.22442173671384
"890000","270404",4.6,2338.9,0.00196673650006413
"900000","270404",415,2338.9,0.177433836418829
"880000","270405",103.9,578.2,0.179695607056382
"890000","270405",10.6,578.2,0.0183327568315462
"900000","270405",113.4,578.2,0.196125907990315
"880000","270406",1720.6,7802.7,0.220513412024043
"890000","270406",57.3,7802.7,0.00734361182667538
"900000","270406",1578,7802.7,0.202237686954516
"880000","280100",3217.8,25979.4,0.123859673433567
"890000","280100",479.9,25979.4,0.0184723280753212
"900000","280100",4527.6,25979.4,0.174276542183422
"880000","280200",629.8,3237.1,0.194556856445584
"890000","280200",64.6,3237.1,0.0199561335763492
"900000","280200",399.4,3237.1,0.123382039479781
"880000","280300",485.4,1309.8,0.370590929912964
"890000","280300",21.7,1309.8,0.0165674148724996
"900000","280300",119.7,1309.8,0.0913879981676592
"880000","280400",2226.6,10146.1,0.219453780270252
"890000","280400",199.5,10146.1,0.0196627275504874
"900000","280400",1992.9,10146.1,0.196420299425395
"880000","290100",8292.2,36012.2,0.23026085604323
"890000","290100",152.4,36012.2,0.00423189918971904
"900000","290100",13727.6,36012.2,0.381193040136398
"880000","290201",1578.6,10856.5,0.145405977985539
"890000","290201",67.6,10856.5,0.00622668447473864
"900000","290201",3330.8,10856.5,0.306802376456501
"880000","290202",869.3,5429.7,0.160100926386357
"890000","290202",24.6,5429.7,0.00453063705177082
"900000","290202",2085.4,5429.7,0.384072784868409
"880000","290203",464.9,2926,0.158885850991114
"890000","290203",24.5,2926,0.00837320574162679
"900000","290203",551.2,2926,0.18838004101162
"880000","290300",2394.9,14017.1,0.170855597805538
"890000","290300",67.1,14017.1,0.00478701015188591
"900000","290300",6187.5,14017.1,0.441425116464889
"880000","300000",2505,12072.4,0.207498094827872
"890000","300000",31.8,12072.4,0.00263410755110831
"900000","300000",3031.3,12072.4,0.251093403134422
"880000","310101",4582.3,125712,0.0364507763777523
"890000","310101",10477,125712,0.0833412880234186
"900000","310101",5030.8,125712,0.0400184548809978
"880000","310102",575.9,3607.4,0.159644064977546
"890000","310102",19.9,3607.4,0.00551643843211177
"900000","310102",466.5,3607.4,0.129317513999002
"880000","310103",103.4,716.1,0.144393241167435
"890000","310103",10.1,716.1,0.014104175394498
"900000","310103",125.6,716.1,0.175394497975143
"880000","310200",910.6,4555.6,0.199885854772149
"890000","310200",50.8,4555.6,0.011151110720871
"900000","310200",679.8,4555.6,0.149222934410396
"880000","310300",684.3,3280,0.208628048780488
